input,class
" it's  "" white ruling elite "" "" turned america into a great melting pot.brain drain & cheap manual labor benefit america """,implicit_hate
ok . youre pretty straightforward tho . all white america survives  all else dies . am i close ?,implicit_hate
your an idiot no one deserves illegals .,implicit_hate
blacks are shot by police in proportion to the number of stops . whites are murdered by blacks dispropor,implicit_hate
" is it technically considered a hate crime now to yell   "" trump ! trump ! trump ! "" "" at brown people ? #maga """,implicit_hate
while the left portrays conservatives as terrorists who mow down people in trucks  islamic terrorists are actually doing that .,implicit_hate
oh right & that celebration of whites dying out while feeding off of their tax dollars according to you,implicit_hate
like all political whores  #obama is obedient to his #jewish #judaism #news #israel #palestine,implicit_hate
: 9 year old white boy commits suicide after being tormented for months by racist arabs,implicit_hate
i hate black people,explicit_hate
these shits are getting shipped all over world to start nothing but chaos and confusion! they're all going to die or prison!,implicit_hate
nope  but ' racist ' is the new n word for white people .,implicit_hate
been called trumpkins  stupid  misogynists  racists  white supremacists  deplorables  & russiansjust dont ever call me democrat or liberal,implicit_hate
hey everybody ... i encourage you to follow the only voice of truth these days #nationalsocialism,implicit_hate
why are all white people from different countries the same  but people of color ... nevermind . white american racists are weird .,implicit_hate
" rt does  "" generation identity "" "" really want the "" "" remigration "" "" of black americans ? if yes  where to ?    """,implicit_hate
: lots of white baby daddies these days...white/state media very reluc,implicit_hate
don't forget obama is half white .,implicit_hate
pl . rt and trend permanently #giveupislam,implicit_hate
: what is good for the white race is the ultimate good .,implicit_hate
we must secure the existance of our people and a future for white children ! ! #rt #whitepride,implicit_hate
"  "" white nationalism isn't the way to go  "" "" said the zionist . """,implicit_hate
you're so stupid . jew is ethic  catholic is a religion .,implicit_hate
they dump negroid invaders in lily white suicidal sweden,explicit_hate
muslims kill meditating buddhists in sri lanka,implicit_hate
migrants change uk forever : white britons will be in minority by 2066 via,implicit_hate
white racist arseholes,explicit_hate
all hollowed out : the lonely poverty of america's white working class,implicit_hate
i'm white thank god,implicit_hate
im white and im a happy gal .. does that mean im racist and a supremist ?,implicit_hate
danish prime minister warns of emergence of muslim parallel societies  no-go zones |,implicit_hate
what do you do when someone is having a seizure in the bath ? throw a load of dirty laundry in .,implicit_hate
sjws are wrong . whites have been brainwashed to work against our own interests .,implicit_hate
" rt : jewish / jews 100 % ok zionism 0 % not okzionism is  "" racist fascistn idiolgie "" "" like nazism / fascism / aparth """,implicit_hate
: worse  metro atlanta from clayton to rockdale and increasingly cobb and dekalb are black hellholes .,implicit_hate
if a muslim kill a jew they celebrate him as a hero . if a christian kill a jew we call,implicit_hate
80 % of americans face near - #poverty . do you want a better america ? join the american #nazi party today,implicit_hate
our overlords / elites have a plan to genocide european,implicit_hate
we want to revoke naturalizations from criminals. (i don't care if it's a parking ticket),implicit_hate
it's political parties like you that make america the great white god loving nation in is today #feelsgoodtobewhite,implicit_hate
What’s the difference between a black man and park bench? A park bench can support a family of 4,implicit_hate
chin up . we'll all soon be compelled to accept everybody is a racist ( the right thing ) when gene editing / life extension science is commercialized + competition for white / asian dna makes it irrefutably clear the negroid dna has no commercial value : ~ 100 yr extinction event,implicit_hate
guns don't kill people . leftwing racist journalists kill people .,implicit_hate
